,variable,relative_importance,scaled_importance,percentage
167,MiscVal,0.868322432041,0.868322432041,0.00326108466323
168,Neighborhood.NPkVill,0.868012189865,0.868012189865,0.00325991951309
169,ExterCond.Fa,0.867779493332,0.867779493332,0.00325904559453
170,CentralAir.N,0.86697101593,0.86697101593,0.00325600926475
171,Exterior1st.CBlock,0.866480231285,0.866480231285,0.00325416606663
172,BsmtFinType1.BLQ,0.865927278996,0.865927278996,0.00325208939077
173,Condition1.Artery,0.865223169327,0.865223169327,0.00324944502601
174,BsmtQual.Ex,0.865191817284,0.865191817284,0.00324932727981
175,BsmtFinType1.Rec,0.86516225338,0.86516225338,0.00324921624917
176,Neighborhood.Crawfor,0.865121603012,0.865121603012,0.00324906358204
177,MSZoning.RL,0.864845216274,0.864845216274,0.00324802557989
178,BsmtFinType1.Unf,0.864237248898,0.864237248898,0.00324574228855
179,Exterior2nd.Wd Sdng,0.863878667355,0.863878667355,0.00324439559437
180,GarageQual.NA,0.863430678844,0.863430678844,0.00324271312204
181,Exterior1st.ImStucc,0.86334836483,0.86334836483,0.0032424039823
182,MSZoning.C (all),0.863050818443,0.863050818443,0.00324128651266
183,BsmtFinType1.LwQ,0.862987220287,0.862987220287,0.00324104766248
184,GarageCond.TA,0.861857712269,0.861857712269,0.00323680566534
185,ExterCond.Gd,0.861599087715,0.861599087715,0.00323583437111
186,Exterior2nd.MetalSd,0.861412405968,0.861412405968,0.00323513326636
187,Condition1.RRAn,0.861374437809,0.861374437809,0.00323499067257
188,BldgType.TwnhsE,0.861283898354,0.861283898354,0.00323465064125
189,KitchenAbvGr,0.860748827457,0.860748827457,0.00323264112102
190,LotShape.IR1,0.860483705997,0.860483705997,0.00323164542691
191,ScreenPorch,0.86048167944,0.86048167944,0.00323163781594
192,Electrical.FuseP,0.860183656216,0.860183656216,0.00323051855548
193,Condition2.PosN,0.8596342206,0.8596342206,0.0032284550869
194,Electrical.FuseF,0.859412133694,0.859412133694,0.003227621014
195,Foundation.Stone,0.859358608723,0.859358608723,0.00322741999482
196,GarageQual.Ex,0.858321428299,0.858321428299,0.00322352474457
197,Neighborhood.Somerst,0.857901275158,0.857901275158,0.00322194681117
198,Exterior2nd.HdBoard,0.857468962669,0.857468962669,0.00322032321195
199,MSZoning.FV,0.856708407402,0.856708407402,0.00321746685926
200,HeatingQC.Gd,0.854930341244,0.854930341244,0.0032107891275
201,SaleType.ConLD,0.85478669405,0.85478669405,0.00321024964396
202,Functional.Mod,0.854725122452,0.854725122452,0.00321001840475
203,Foundation.PConc,0.85470366478,0.85470366478,0.00320993781799
204,MiscFeature.TenC,0.854639291763,0.854639291763,0.00320969605773
205,Neighborhood.Sawyer,0.854231715202,0.854231715202,0.00320816535713
206,Utilities.AllPub,0.853239536285,0.853239536285,0.00320443911521
207,GarageType.Basment,0.85233771801,0.85233771801,0.00320105223305
208,MiscFeature.Gar2,0.851738274097,0.851738274097,0.00319880095257
209,GarageCond.Ex,0.851380705833,0.851380705833,0.00319745806387
210,BsmtCond.TA,0.850458562374,0.850458562374,0.00319399484815
211,GarageYrBlt,0.850442945957,0.850442945957,0.0031939361989
212,PavedDrive.P,0.849783658981,0.849783658981,0.00319146017091
213,LotFrontage,0.849764704704,0.849764704704,0.00319138898595
214,SaleType.ConLI,0.849599897861,0.849599897861,0.00319077003491
215,BsmtFinType2.LwQ,0.849353730679,0.849353730679,0.00318984552577
216,PoolQC.NA,0.848892688751,0.848892688751,0.00318811402984
217,Exterior1st.Plywood,0.848251640797,0.848251640797,0.00318570650059
218,HouseStyle.2.5Fin,0.848010718822,0.848010718822,0.00318480169044
219,PoolQC.Ex,0.84759670496,0.84759670496,0.00318324681381
220,RoofStyle.Gambrel,0.847379863262,0.847379863262,0.0031824324399
221,Neighborhood.NAmes,0.847323656082,0.847323656082,0.00318222134737
222,Exterior1st.AsphShn,0.846747398376,0.846747398376,0.00318005714535
223,RoofStyle.Hip,0.84628623724,0.84628623724,0.00317832520171
224,LotConfig.Corner,0.84620898962,0.84620898962,0.0031780350894
225,Fence.MnPrv,0.846173048019,0.846173048019,0.00317790010659
226,Exterior1st.VinylSd,0.845870316029,0.845870316029,0.00317676316181
227,YearRemodAdd,0.845663666725,0.845663666725,0.00317598706661
228,LandSlope.Mod,0.845655441284,0.845655441284,0.00317595617502
229,OverallQual,0.845360219479,0.845360219479,0.00317484743561
230,FullBath,0.845174729824,0.845174729824,0.0031741508079
231,LotArea,0.844928443432,0.844928443432,0.00317322585106
232,GarageType.BuiltIn,0.844696879387,0.844696879387,0.00317235618568
233,SaleCondition.Family,0.84398162365,0.84398162365,0.00316966996057
234,OpenPorchSF,0.843384504318,0.843384504318,0.00316742741032
235,Id,0.843371152878,0.843371152878,0.00316737726745
236,MSZoning.RM,0.843089520931,0.843089520931,0.00316631956631
237,Condition2.RRAe,0.843045949936,0.843045949936,0.00316615593043
238,Exterior1st.WdShing,0.842674314976,0.842674314976,0.00316476021264
239,GarageFinish.NA,0.842526137829,0.842526137829,0.00316420371634
240,SaleType.New,0.84187734127,0.84187734127,0.00316176708632
241,Exterior2nd.AsbShng,0.841597318649,0.841597318649,0.00316071542919
242,WoodDeckSF,0.840896248817,0.840896248817,0.00315808248088
243,MSSubClass,0.840268433094,0.840268433094,0.0031557246468
244,Neighborhood.Gilbert,0.840217292309,0.840217292309,0.0031555325817
245,MiscFeature.Othr,0.839019417763,0.839019417763,0.00315103382621
246,GarageFinish.Unf,0.838427066803,0.838427066803,0.00314880918412
247,BsmtFinType1.GLQ,0.838329732418,0.838329732418,0.00314844363366
248,Condition2.RRAn,0.837639808655,0.837639808655,0.00314585254569
249,LandSlope.Gtl,0.83513045311,0.83513045311,0.00313642837262
250,Fence.MnWw,0.83463537693,0.83463537693,0.00313456905714
251,Exterior2nd.CmentBd,0.834604859352,0.834604859352,0.00313445444487
252,Exterior2nd.ImStucc,0.834107577801,0.834107577801,0.00313258684687
253,GarageType.Detchd,0.833440244198,0.833440244198,0.00313008059885
254,Heating.OthW,0.833327233791,0.833327233791,0.00312965617528
255,Condition1.PosA,0.833187401295,0.833187401295,0.00312913101827
256,Exterior1st.AsbShng,0.833181917667,0.833181917667,0.00312911042388
257,SaleCondition.Partial,0.833147823811,0.833147823811,0.00312898238048
258,GarageType.NA,0.832993924618,0.832993924618,0.00312840439438
259,Electrical.NA,0.832965135574,0.832965135574,0.00312829627382
260,Functional.Maj2,0.832624256611,0.832624256611,0.00312701606371
261,Neighborhood.SWISU,0.832539498806,0.832539498806,0.00312669774603
262,Condition2.RRNn,0.830209136009,0.830209136009,0.00311794580079
263,SaleType.CWD,0.830177843571,0.830177843571,0.00311782827844
264,ExterCond.Po,0.83015280962,0.83015280962,0.00311773426056
265,Functional.Min1,0.828476846218,0.828476846218,0.00311143998744
266,Condition1.PosN,0.827573478222,0.827573478222,0.00310804728514
267,MiscFeature.Shed,0.827317476273,0.827317476273,0.0031070858404
268,KitchenQual.Gd,0.82722401619,0.82722401619,0.00310673484032
269,Exterior1st.HdBoard,0.827011704445,0.827011704445,0.00310593747917
270,Condition2.PosA,0.825842559338,0.825842559338,0.00310154662038
271,LotConfig.FR3,0.824691951275,0.824691951275,0.0030972253796
272,MasVnrArea,0.824329912663,0.824329912663,0.00309586570199
273,BsmtFinType2.BLQ,0.823513925076,0.823513925076,0.00309280116685
274,Fireplaces,0.823274254799,0.823274254799,0.00309190105759
275,MasVnrType.NA,0.822924375534,0.822924375534,0.00309058704581
276,Alley.Pave,0.822693049908,0.822693049908,0.00308971827584
277,Neighborhood.Blmngtn,0.821689546108,0.821689546108,0.00308594950202
278,ExterQual.Fa,0.819371759892,0.819371759892,0.00307724478957
279,RoofStyle.Shed,0.817248642445,0.817248642445,0.00306927117806
280,Exterior2nd.Other,0.817163705826,0.817163705826,0.00306895218883
281,GarageQual.Gd,0.815798044205,0.815798044205,0.00306382328969
282,SaleCondition.AdjLand,0.81573933363,0.81573933363,0.00306360279538
283,EnclosedPorch,0.815434992313,0.815434992313,0.0030624598066
284,LowQualFinSF,0.815185427666,0.815185427666,0.00306152253789
285,BsmtExposure.Av,0.813194692135,0.813194692135,0.00305404610187
286,HouseStyle.SFoyer,0.812402307987,0.812402307987,0.00305107021216
287,BsmtQual.NA,0.810896456242,0.810896456242,0.00304541481291
288,Exterior1st.BrkComm,0.810506343842,0.810506343842,0.00304394970097
289,GarageCars,0.809749186039,0.809749186039,0.00304110610784
290,KitchenQual.TA,0.809214711189,0.809214711189,0.00303909882613
291,PoolQC.Gd,0.809172689915,0.809172689915,0.00303894101041
292,BsmtCond.Gd,0.808651387691,0.808651387691,0.00303698320001
293,BsmtExposure.Gd,0.803052723408,0.803052723408,0.00301595677301
294,BsmtFinType2.Unf,0.800790727139,0.800790727139,0.00300746158612
295,HalfBath,0.800417006016,0.800417006016,0.0030060580335
296,BsmtFinType2.NA,0.793113529682,0.793113529682,0.00297862898897
297,BsmtFullBath,0.791044831276,0.791044831276,0.00297085975441
298,SaleType.ConLw,0.789870977402,0.789870977402,0.00296645121131
299,Heating.Grav,0.784161686897,0.784161686897,0.00294500931483
300,MSZoning.RH,0.783571004868,0.783571004868,0.0029427909406
301,3SsnPorch,0.776705384254,0.776705384254,0.00291700631353
302,BsmtUnfSF,0.770660042763,0.770660042763,0.00289430233895
303,BsmtFinSF2,0.769760131836,0.769760131836,0.00289092262007
304,PoolArea,0.758226275444,0.758226275444,0.00284760589715
305,Neighborhood.missing(NA),0.0,0.0,0.0
306,Exterior2nd.missing(NA),0.0,0.0,0.0
307,Exterior1st.missing(NA),0.0,0.0,0.0
308,Condition1.missing(NA),0.0,0.0,0.0
309,SaleType.missing(NA),0.0,0.0,0.0
310,Condition2.missing(NA),0.0,0.0,0.0
311,HouseStyle.missing(NA),0.0,0.0,0.0
312,RoofMatl.missing(NA),0.0,0.0,0.0
313,BsmtFinType2.missing(NA),0.0,0.0,0.0
314,Functional.missing(NA),0.0,0.0,0.0
315,GarageType.missing(NA),0.0,0.0,0.0
316,BsmtFinType1.missing(NA),0.0,0.0,0.0
317,Electrical.missing(NA),0.0,0.0,0.0
318,RoofStyle.missing(NA),0.0,0.0,0.0
319,FireplaceQu.missing(NA),0.0,0.0,0.0
320,Foundation.missing(NA),0.0,0.0,0.0
321,GarageQual.missing(NA),0.0,0.0,0.0
322,GarageCond.missing(NA),0.0,0.0,0.0
323,Heating.missing(NA),0.0,0.0,0.0
324,SaleCondition.missing(NA),0.0,0.0,0.0
325,HeatingQC.missing(NA),0.0,0.0,0.0
326,ExterCond.missing(NA),0.0,0.0,0.0
327,BldgType.missing(NA),0.0,0.0,0.0
328,BsmtQual.missing(NA),0.0,0.0,0.0
329,BsmtCond.missing(NA),0.0,0.0,0.0
330,BsmtExposure.missing(NA),0.0,0.0,0.0
331,LotConfig.missing(NA),0.0,0.0,0.0
332,Fence.missing(NA),0.0,0.0,0.0
333,MiscFeature.missing(NA),0.0,0.0,0.0
334,MSZoning.missing(NA),0.0,0.0,0.0
335,MasVnrType.missing(NA),0.0,0.0,0.0
336,LotShape.missing(NA),0.0,0.0,0.0
337,PoolQC.missing(NA),0.0,0.0,0.0
